"price","date"
0.0309605,"22/9/2017 2:29:29"
0.0309605,"22/9/2017 2:29:30"
0.0309605,"22/9/2017 2:29:31"
0.0309605,"22/9/2017 2:29:33"
0.0309605,"22/9/2017 2:29:34"
0.0309605,"22/9/2017 2:29:34"
0.0309605,"22/9/2017 2:29:35"
0.0309605,"22/9/2017 2:29:36"
0.0309605,"22/9/2017 2:29:37"
0.0309605,"22/9/2017 2:30:6"
0.0309605,"22/9/2017 2:30:8"
0.0309605,"22/9/2017 2:30:8"
0.0309605,"22/9/2017 2:30:9"
0.0309605,"22/9/2017 2:30:9"
0.0309605,"22/9/2017 2:30:10"
0.0309605,"22/9/2017 2:30:11"
0.0309605,"22/9/2017 2:30:12"
0.0309605,"22/9/2017 2:30:13"
0.0309605,"22/9/2017 2:30:16"
0.0309605,"22/9/2017 2:30:16"
0.0309605,"22/9/2017 2:30:17"
0.0309605,"22/9/2017 2:30:17"
0.0309605,"22/9/2017 2:30:18"
0.0309605,"22/9/2017 2:30:19"
0.0309605,"22/9/2017 2:30:21"
0.0309605,"22/9/2017 2:30:21"
0.0309605,"22/9/2017 2:30:22"
0.0309605,"22/9/2017 2:30:23"
0.0309605,"22/9/2017 2:30:26"
0.0309605,"22/9/2017 2:30:26"
0.0309605,"22/9/2017 2:30:26"
0.0309605,"22/9/2017 2:30:27"
0.0309605,"22/9/2017 2:30:30"
0.0309605,"22/9/2017 2:30:30"
0.0309605,"22/9/2017 2:30:30"
0.0309605,"22/9/2017 2:30:31"
0.0309605,"22/9/2017 2:30:32"
0.0309605,"22/9/2017 2:30:34"
0.0309605,"22/9/2017 2:30:35"
0.0309605,"22/9/2017 2:30:35"
0.0309605,"22/9/2017 2:30:36"
0.0309605,"22/9/2017 2:30:37"
0.0308713,"22/9/2017 2:31:9"
0.0308713,"22/9/2017 2:31:11"
0.0308713,"22/9/2017 2:31:11"
0.0308713,"22/9/2017 2:31:12"
0.0308713,"22/9/2017 2:31:12"
0.0308713,"22/9/2017 2:31:14"
0.0308713,"22/9/2017 2:31:15"
0.0308713,"22/9/2017 2:31:16"
0.0308713,"22/9/2017 2:31:17"
0.0308713,"22/9/2017 2:31:18"
0.0308713,"22/9/2017 2:31:21"
0.0308713,"22/9/2017 2:31:21"
0.0308713,"22/9/2017 2:31:22"
0.0308713,"22/9/2017 2:31:22"
0.0308713,"22/9/2017 2:31:24"
0.0308713,"22/9/2017 2:31:24"
0.0308713,"22/9/2017 2:31:25"
0.0308713,"22/9/2017 2:31:26"
0.0308713,"22/9/2017 2:31:27"
0.0308713,"22/9/2017 2:31:27"
0.0308713,"22/9/2017 2:31:29"
0.0308713,"22/9/2017 2:31:30"
0.0308713,"22/9/2017 2:31:32"
0.0308713,"22/9/2017 2:31:33"
0.0308713,"22/9/2017 2:31:33"
0.0308713,"22/9/2017 2:31:34"
0.0308713,"22/9/2017 2:32:10"
0.0308713,"22/9/2017 2:32:10"
0.0308713,"22/9/2017 2:32:10"
0.0308713,"22/9/2017 2:32:11"
0.0308713,"22/9/2017 2:32:12"
0.0308713,"22/9/2017 2:32:13"
0.0308713,"22/9/2017 2:32:14"
0.0308713,"22/9/2017 2:32:15"
0.0308713,"22/9/2017 2:32:16"
0.0308713,"22/9/2017 2:32:18"
0.0308713,"22/9/2017 2:32:18"
0.0308713,"22/9/2017 2:32:19"
0.0308713,"22/9/2017 2:32:20"
0.0308713,"22/9/2017 2:32:21"
0.0308713,"22/9/2017 2:32:22"
0.0308713,"22/9/2017 2:32:23"
0.0308713,"22/9/2017 2:32:24"
0.0308713,"22/9/2017 2:32:25"
0.0308713,"22/9/2017 2:32:27"
0.0308713,"22/9/2017 2:32:28"
0.0308713,"22/9/2017 2:32:28"
0.0308713,"22/9/2017 2:32:29"
0.0308713,"22/9/2017 2:32:31"
0.0308713,"22/9/2017 2:32:31"
0.0308713,"22/9/2017 2:32:32"
0.0308713,"22/9/2017 2:33:11"
0.0308713,"22/9/2017 2:33:12"
0.0308713,"22/9/2017 2:33:12"
0.0308713,"22/9/2017 2:33:13"
0.0308713,"22/9/2017 2:33:14"
0.0308713,"22/9/2017 2:33:15"
0.0308713,"22/9/2017 2:33:16"
0.0308713,"22/9/2017 2:33:17"
0.0308713,"22/9/2017 2:33:18"
0.0308713,"22/9/2017 2:33:19"
0.0308713,"22/9/2017 2:33:20"
0.0308713,"22/9/2017 2:33:23"
0.0308713,"22/9/2017 2:33:23"
0.0308713,"22/9/2017 2:33:23"
0.0308713,"22/9/2017 2:33:26"
0.0308713,"22/9/2017 2:33:26"
0.0308713,"22/9/2017 2:33:27"
0.0308713,"22/9/2017 2:33:27"
0.0308713,"22/9/2017 2:33:29"
0.0308713,"22/9/2017 2:33:29"
0.0308713,"22/9/2017 2:33:30"
0.0308713,"22/9/2017 2:33:31"
0.0308713,"22/9/2017 2:33:32"
0.0308713,"22/9/2017 2:33:33"
0.0308713,"22/9/2017 2:34:12"
0.0308713,"22/9/2017 2:34:12"
0.0308713,"22/9/2017 2:34:13"
0.0308713,"22/9/2017 2:34:16"
0.0308713,"22/9/2017 2:34:16"
0.0308713,"22/9/2017 2:34:16"
0.0308713,"22/9/2017 2:34:17"
0.0308713,"22/9/2017 2:34:18"
0.0308713,"22/9/2017 2:34:19"
0.0308713,"22/9/2017 2:34:20"
0.0308713,"22/9/2017 2:34:21"
0.0308713,"22/9/2017 2:34:22"
0.0308713,"22/9/2017 2:34:24"
0.0308713,"22/9/2017 2:34:24"
0.0308713,"22/9/2017 2:34:25"
0.0308713,"22/9/2017 2:34:26"
0.0308713,"22/9/2017 2:34:27"
0.0308713,"22/9/2017 2:34:29"
0.0308713,"22/9/2017 2:34:29"
0.0308713,"22/9/2017 2:34:30"
0.0308713,"22/9/2017 2:34:31"
0.0308713,"22/9/2017 2:34:32"
0.0308713,"22/9/2017 2:34:34"
0.0308713,"22/9/2017 2:34:34"
0.0308713,"22/9/2017 2:35:4"
0.0308713,"22/9/2017 2:35:4"
0.0308713,"22/9/2017 2:35:5"
0.0308713,"22/9/2017 2:35:6"
0.0308713,"22/9/2017 2:35:10"
0.0308713,"22/9/2017 2:35:10"
0.0308713,"22/9/2017 2:35:10"
0.0308713,"22/9/2017 2:35:10"
0.0308713,"22/9/2017 2:35:11"
0.0308713,"22/9/2017 2:35:13"
0.0308713,"22/9/2017 2:35:14"
0.0308713,"22/9/2017 2:35:14"
0.0308713,"22/9/2017 2:35:15"
0.0308713,"22/9/2017 2:35:18"
0.0308713,"22/9/2017 2:35:18"
0.0308713,"22/9/2017 2:35:18"
0.0308713,"22/9/2017 2:35:19"
0.0308713,"22/9/2017 2:35:20"
0.0308713,"22/9/2017 2:35:21"
0.0308713,"22/9/2017 2:35:22"
0.0308713,"22/9/2017 2:35:23"
0.0308713,"22/9/2017 2:35:25"
0.0308713,"22/9/2017 2:35:25"
0.0308713,"22/9/2017 2:35:27"
0.0308713,"22/9/2017 2:35:27"
0.0308713,"22/9/2017 2:35:28"
0.0308713,"22/9/2017 2:35:30"
0.0308713,"22/9/2017 2:35:31"
0.0308713,"22/9/2017 2:35:31"
0.0308713,"22/9/2017 2:35:32"
0.0310163,"22/9/2017 2:36:9"
0.0310163,"22/9/2017 2:36:10"
0.0310163,"22/9/2017 2:36:11"
0.0310163,"22/9/2017 2:36:12"
0.0310163,"22/9/2017 2:36:13"
0.0310163,"22/9/2017 2:36:15"
0.0310163,"22/9/2017 2:36:16"
0.0310163,"22/9/2017 2:36:16"
0.0310163,"22/9/2017 2:36:18"
0.0310163,"22/9/2017 2:36:19"
0.0310163,"22/9/2017 2:36:20"
0.0310163,"22/9/2017 2:36:20"
0.0310163,"22/9/2017 2:36:21"
0.0310163,"22/9/2017 2:36:22"
0.0310163,"22/9/2017 2:36:23"
0.0310163,"22/9/2017 2:36:25"
0.0310163,"22/9/2017 2:36:25"
0.0310163,"22/9/2017 2:36:26"
0.0310163,"22/9/2017 2:36:27"
0.0310163,"22/9/2017 2:36:28"
0.0310163,"22/9/2017 2:36:30"
0.0310163,"22/9/2017 2:36:30"
0.0310163,"22/9/2017 2:36:31"
0.0310163,"22/9/2017 2:36:32"
0.0310163,"22/9/2017 2:36:34"
0.0310163,"22/9/2017 2:36:34"
0.0310163,"22/9/2017 2:36:35"
0.0310163,"22/9/2017 2:37:7"
0.0310163,"22/9/2017 2:37:8"
0.0310163,"22/9/2017 2:37:11"
0.0310163,"22/9/2017 2:37:11"
0.0310163,"22/9/2017 2:37:11"
0.0310163,"22/9/2017 2:37:13"
0.0310163,"22/9/2017 2:37:15"
0.0310163,"22/9/2017 2:37:15"
0.0310163,"22/9/2017 2:37:16"
0.0310163,"22/9/2017 2:37:18"
0.0310163,"22/9/2017 2:37:18"
0.0310163,"22/9/2017 2:37:19"
0.0310163,"22/9/2017 2:37:19"
0.0310163,"22/9/2017 2:37:21"
0.0310163,"22/9/2017 2:37:21"
0.0310163,"22/9/2017 2:37:22"
0.0310163,"22/9/2017 2:37:24"
0.0310163,"22/9/2017 2:37:24"
0.0310163,"22/9/2017 2:37:25"
0.0310163,"22/9/2017 2:37:28"
0.0310163,"22/9/2017 2:37:28"
0.0310163,"22/9/2017 2:37:29"
0.0310163,"22/9/2017 2:37:30"
0.0310163,"22/9/2017 2:37:33"
0.0310163,"22/9/2017 2:37:33"
0.0310163,"22/9/2017 2:37:33"
0.0310163,"22/9/2017 2:37:33"
0.0310163,"22/9/2017 2:38:9"
0.0310163,"22/9/2017 2:38:9"
0.0310163,"22/9/2017 2:38:9"
0.0310163,"22/9/2017 2:38:10"
0.0310163,"22/9/2017 2:38:11"
0.0310163,"22/9/2017 2:38:12"
0.0310163,"22/9/2017 2:38:13"
0.0310163,"22/9/2017 2:38:14"
0.0310163,"22/9/2017 2:38:15"
0.0310163,"22/9/2017 2:38:18"
0.0310163,"22/9/2017 2:38:18"
0.0310163,"22/9/2017 2:38:18"
0.0310163,"22/9/2017 2:38:19"
0.0310163,"22/9/2017 2:38:21"
0.0310163,"22/9/2017 2:38:22"
0.0310163,"22/9/2017 2:38:22"
0.0310163,"22/9/2017 2:38:23"
0.0310163,"22/9/2017 2:38:24"
0.0310163,"22/9/2017 2:38:25"
0.0310163,"22/9/2017 2:38:27"
0.0310163,"22/9/2017 2:38:27"
0.0310163,"22/9/2017 2:38:28"
0.0310163,"22/9/2017 2:38:29"
0.0310163,"22/9/2017 2:38:30"
0.0310163,"22/9/2017 2:38:31"
0.0310163,"22/9/2017 2:38:32"
0.0310163,"22/9/2017 2:39:9"
0.0310163,"22/9/2017 2:39:10"
0.0310163,"22/9/2017 2:39:11"
0.0310163,"22/9/2017 2:39:12"
0.0310163,"22/9/2017 2:39:13"
0.0310163,"22/9/2017 2:39:14"
0.0310163,"22/9/2017 2:39:15"
0.0310163,"22/9/2017 2:39:16"
0.0310163,"22/9/2017 2:39:17"
0.0310163,"22/9/2017 2:39:18"
0.0310163,"22/9/2017 2:39:20"
0.0310163,"22/9/2017 2:39:20"
0.0310163,"22/9/2017 2:39:22"
0.0310163,"22/9/2017 2:39:23"
0.0310163,"22/9/2017 2:39:23"
0.0310163,"22/9/2017 2:39:24"
0.0310163,"22/9/2017 2:39:25"
0.0310163,"22/9/2017 2:39:26"
0.0310163,"22/9/2017 2:39:28"
0.0310163,"22/9/2017 2:39:28"
0.0310163,"22/9/2017 2:39:29"
0.0310163,"22/9/2017 2:39:30"
0.0310163,"22/9/2017 2:39:31"
0.0310163,"22/9/2017 2:39:32"
